Descriptor,Pearson r,Pearson p-value,Spearman ρ,Spearman p-value,Significant (p<0.05)
Moleculer Weight,0.15418560372112267,0.022468933799311752,0.22476120076069567,0.000807841327678604,Yes
Proxy for Free Volume,-0.10818378851306545,0.11037700752014921,-0.19235733825311344,0.004275741794350344,No
Rotatable Bonds,0.10693511939453283,0.11457322380964295,0.1910512905680289,0.0045496441376139726,No
Aromatic Rings,0.1595649110481286,0.01812808172473667,0.24042027504235838,0.00033024793535178424,Yes
Topological Polar Surface Area,0.03063781480642525,0.6520548321828088,0.0781851803025543,0.2492478836622192,No
H-Bond Donors,0.11007335247697322,0.104257414643984,0.11583878525226357,0.08722721633752857,No
H-Bond Acceptors,0.008981633807803573,0.8948592778677725,0.10154774109588283,0.13412172426926702,No
